clientid,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext,score
303,3130253,Breakroom,152737,Home & Garden|Fire & Gas Safety|Fire Alarms,50
303,3130253,Breakroom,152661,Home & Garden|Decor|Clocks|Alarm Clocks|Portable Alarm Clocks,50
303,3130253,Breakroom,152633,Home & Garden|Bathroom Accessories,60
303,3130253,Breakroom,153545,Media|Product Manuals|Sports & Recreation Manuals,50
303,3130253,Breakroom,153516,Media|Books|Non-Fiction|Literary Books,50
303,3130253,Breakroom,154363,Sporting Goods|Winter Sports|Snowboarding|Snowboard Boots,50
303,3130253,Breakroom,153990,Sporting Goods|Outdoor Recreation|Equestrian|Horse Supplies|Horse Grooming,60
303,3130253,Breakroom,153937,Sporting Goods|Outdoor Recreation|Cycling|Bicycle Parts|Bicycle Brake Parts|Bicycle Brake Rotors,60
303,3130253,Breakroom,154735,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Transmission Parts|Rocker Arms,50
303,3130253,Breakroom,320064,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Engine Parts|Vehicle Starter Motors,50
303,3130253,Breakroom,154665,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Engine Parts|Vehicle Starter Motor Parts,50
303,3130253,Breakroom,154631,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Vehicle Manual Brake Parts,50
303,3130253,Breakroom,154630,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Vehicle Brake Parts,50
303,3130253,Breakroom,154629,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Parking Brake Parts,50
303,3130253,Breakroom,154534,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Care|Vehicle Cleaning|Vehicle Aerosol Cleaners,50
303,3130253,Breakroom,154513,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Speakerphones,50
le Parts & Accessories|Motor Vehicle Parts|Transmission Parts|Rocker Arms']"
50,"['303', '3130253', 'Breakroom']","['320064', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Engine Parts|Vehicle Starter Motors']"
50,"['303', '3130253', 'Breakroom']","['154665', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Engine Parts|Vehicle Starter Motor Parts']"
50,"['303', '3130253', 'Breakroom']","['154631', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Vehicle Manual Brake Parts']"
50,"['303', '3130253', 'Breakroom']","['154630', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Vehicle Brake Parts']"
50,"['303', '3130253', 'Breakroom']","['154629', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Parts|Motor Vehicle Braking|Parking Brake Parts']"
50,"['303', '3130253', 'Breakroom']","['154534', 'Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Care|Vehicle Cleaning|Vehicle Aerosol Cleaners']"
50,"['303', '3130253', 'Breakroom']","['154513', 'Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Speakerphones']"
