clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext,dist,,total:,673,,accurate:,423,,near:,123,,far:,127
303,OfficeDepot,3130176,Technology|Software|CD & DVD Burning Software|Video Editing Software,153695,Software|Computer Software|Multimedia & Design Software|Video Editing Software,,,,,,,,,,,,,
303,OfficeDepot,3130173,Technology|Software|CD & DVD Burning Software|Audio Editing Software,153694,Software|Computer Software|Multimedia & Design Software|Sound Editing Software,,,,,,,,,,,,,
303,OfficeDepot,3130158,Technology|Software|Graphic & Printing Design Software|Desktop Publishing Software,153692,Software|Computer Software|Multimedia & Design Software|Home Publishing Software,,,,,,,,,,,,,
303,OfficeDepot,3130175,Technology|Software|CD & DVD Burning Software|Photo Editing Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,near,,,,,,,,,,,,
303,OfficeDepot,3130177,Technology|Software|Design & Illustration Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,,,,,,,,,,,,,
303,OfficeDepot,3130155,Technology|Software|Graphic & Printing Design Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,,,,,,,,,,,,,
303,OfficeDepot,3130156,Technology|Software|Graphic & Printing Design Software|CAD Design Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,,,,,,,,,,,,,
303,OfficeDepot,3130157,Technology|Software|Graphic & Printing Design Software|Clip Art/Fonts/Labels Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,far,,,,,,,,,,,,
303,OfficeDepot,3130159,Technology|Software|Graphic & Printing Design Software|Graphic Design Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,,,,,,,,,,,,,
303,OfficeDepot,3130160,Technology|Software|Graphic & Printing Design Software|Home Design Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,,,,,,,,,,,,,
303,OfficeDepot,3130161,Technology|Software|Graphic & Printing Design Software|Screen Savers Software,153691,Software|Computer Software|Multimedia & Design Software|Graphic Design Software,near,,,,,,,,,,,,
303,OfficeDepot,3130172,Technology|Software|CD & DVD Burning Software,153689,Software|Computer Software|Multimedia & Design Software,near,,,,,,,,,,,,
303,OfficeDepot,3130174,Technology|Software|CD & DVD Burning Software|Digital Editing Suites Software,153689,Software|Computer Software|Multimedia & Design Software,near,,,,,,,,,,,,
303,OfficeDepot,3130169,"Technology|Software|Tax, Finance & Legal Software",153687,"Software|Computer Software|Financial, Tax & Accounting Software",near,,,,,,,,,,,,
303,OfficeDepot,3131278,"Technology|Software|Tax, Finance & Legal Software|Legal Forms Software",153687,"Software|Computer Software|Financial, Tax & Accounting Software",,,,,,,,,,,,,
303,OfficeDepot,3130170,"Technology|Software|Tax, Finance & Legal Software|Personal Finance Software",153687,"Software|Computer Software|Financial, Tax & Accounting Software",near,,,,,,,,,,,,
303,OfficeDepot,3130171,"Technology|Software|Tax, Finance & Legal Software|Small Business Finance Software",153687,"Software|Computer Software|Financial, Tax & Accounting Software",near,,,,,,,,,,,,
303,OfficeDepot,3131279,"Technology|Software|Tax, Finance & Legal Software|Tax Preparation Software",153687,"Software|Computer Software|Financial, Tax & Accounting Software",,,,,,,,,,,,,
303,OfficeDepot,3130153,"Technology|Software|Education, Language Learning & Reference Software|Instructional Software",153686,Software|Computer Software|Educational Software,,,,,,,,,,,,,
