clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext
297,TheEntertainer,3126111,dolls soft toys|dolls|baby dolls,154431,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls"
297,TheEntertainer,3126112,dolls soft toys|dolls|fashion dolls,154431,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls"
297,TheEntertainer,3126113,dolls soft toys|dolls|fashion dolls|mini fashion dolls,154431,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls"
297,TheEntertainer,3126114,dolls soft toys|dolls|film tv dolls,154431,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls"
297,TheEntertainer,3126115,dolls soft toys|dolls|rag dolls,154431,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls"
297,TheEntertainer,3126116,dolls soft toys|dolls|styling heads,154431,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls"
297,TheEntertainer,3126117,dolls soft toys|electronic pets,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126118,dolls soft toys|prams pushchairs,154432,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Dolls & Action Figure Accessories"
297,TheEntertainer,3126119,dolls soft toys|puppets,154433,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Playsets"
297,TheEntertainer,3126120,dolls soft toys|soft toys,154435,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Stuffed Toys"
297,TheEntertainer,3126121,dolls soft toys|soft toys|action plush,154435,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Stuffed Toys"
297,TheEntertainer,3126122,electronic educational toys|batteries,151414,Electronics|Electronics Accessories|Power|Batteries
297,TheEntertainer,3126123,electronic educational toys|electronic learning toys,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126124,electronic educational toys|electronic learning toys|e learning computers,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126125,electronic educational toys|electronic learning toys|e reading,154439,Toys & Games|Toys|Educational Toys|Reading Toys
297,TheEntertainer,3126126,electronic educational toys|electronic learning toys|electronic gaming,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126127,electronic educational toys|electronic learning toys|games software accessories,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126128,electronic educational toys|electronic learning toys|tablets,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126129,electronic educational toys|electronic pre school toys,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126130,electronic educational toys|music,154450,Toys & Games|Toys|Musical Toys
297,TheEntertainer,3126131,electronic educational toys|remote control vehicles,154472,Toys & Games|Toys|Radio Control Toys
297,TheEntertainer,3126132,electronic educational toys|robotics,154442,Toys & Games|Toys|Electronic Toys|Robotic Toys
297,TheEntertainer,3126133,electronic educational toys|robotics|swimming robots,154442,Toys & Games|Toys|Electronic Toys|Robotic Toys
297,TheEntertainer,3126134,electronic educational toys|watches clocks,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126135,games jigsaws|board games,154373,Toys & Games|Games|Board Games
297,TheEntertainer,3126136,games jigsaws|card games,154378,Toys & Games|Games|Card Games
297,TheEntertainer,3126137,games jigsaws|childrens games,154371,Toys & Games|Games
297,TheEntertainer,3126138,games jigsaws|family games,154371,Toys & Games|Games
297,TheEntertainer,3126139,games jigsaws|jigsaws,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126140,games jigsaws|jigsaws|3d jigsaws,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126141,games jigsaws|jigsaws|jigsaw 0 49,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126142,games jigsaws|jigsaws|jigsaw 100 199,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126143,games jigsaws|jigsaws|jigsaw 200 499,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126144,games jigsaws|jigsaws|jigsaw 50 99,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126145,games jigsaws|jigsaws|jigsaw 500,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126146,games jigsaws|jigsaws|wooden jigsawas,154395,Toys & Games|Puzzles|Jigsaw Puzzles
297,TheEntertainer,3126147,games jigsaws|magic jokes,150547,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Magic & Novelties
297,TheEntertainer,3126148,games jigsaws|travel games,154371,Toys & Games|Games
297,TheEntertainer,3126149,home clothing|clothing shoes,150153,Apparel & Accessories|Clothing
297,TheEntertainer,3126150,home clothing|clothing shoes|shoes,150410,Apparel & Accessories|Shoes
297,TheEntertainer,3126151,home clothing|duvets and blankets,153378,Home & Garden|Linens|Bedding
297,TheEntertainer,3126007,Homepage,-10,Unmapped SKUs|All|Misc. Uncategorized
297,TheEntertainer,3126152,lego construction|buildings,154420,Toys & Games|Toys|Building Toys|Interlocking Blocks
297,TheEntertainer,3126153,lego construction|construction vehicles,154420,Toys & Games|Toys|Building Toys|Interlocking Blocks
297,TheEntertainer,3126154,lego construction|mini figures,154420,Toys & Games|Toys|Building Toys|Interlocking Blocks
297,TheEntertainer,3126155,lego construction|modelling kits,154420,Toys & Games|Toys|Building Toys|Interlocking Blocks
297,TheEntertainer,3126156,lego construction|pre school bricks,154420,Toys & Games|Toys|Building Toys|Interlocking Blocks
297,TheEntertainer,3128412,little hero,-14,Unmapped SKUs|All|Brand Pages
297,TheEntertainer,3126157,marvel|avengers,-14,Unmapped SKUs|All|Brand Pages
297,TheEntertainer,3126158,outdoor toys|blasters,154495,Toys & Games|Toys|Toy Weapons
297,TheEntertainer,3126159,outdoor toys|blasters|dart blasters,154495,Toys & Games|Toys|Toy Weapons
297,TheEntertainer,3126160,outdoor toys|blasters|water blasters,154496,Toys & Games|Toys|Toy Weapons|Water Guns
297,TheEntertainer,3126161,outdoor toys|bubbles,154404,Toys & Games|Toys|Activity Toys|Bubble Blowing Toys
297,TheEntertainer,3126162,outdoor toys|garden toys,154386,Toys & Games|Outdoor Play Equipment
297,TheEntertainer,3126163,outdoor toys|garden toys|balls,154482,Toys & Games|Toys|Sports Toys
297,TheEntertainer,3126164,outdoor toys|kites,154447,Toys & Games|Toys|Flying Toys|Kites
297,TheEntertainer,3126165,outdoor toys|play centres swings slides,154386,Toys & Games|Outdoor Play Equipment
297,TheEntertainer,3126166,outdoor toys|play centres swings slides|play centres,154388,Toys & Games|Outdoor Play Equipment|Outdoor Playsets
297,TheEntertainer,3126167,outdoor toys|play centres swings slides|slides,154391,Toys & Games|Outdoor Play Equipment|Slides
297,TheEntertainer,3126168,outdoor toys|play centres swings slides|swings,154392,Toys & Games|Outdoor Play Equipment|Swing Sets
